Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code
366001,1,1/1/2016,1/13/2016,1269051,0,1048,2,USD
366001,2,1/1/2016,1/13/2016,1269051,0,2007,1,USD
366002,1,1/1/2016,1/12/2016,266019,0,1106,7,CAD
366002,2,1/1/2016,1/12/2016,266019,0,373,1,CAD
366002,3,1/1/2016,1/12/2016,266019,0,1080,4,CAD
366010,1,1/1/2016,1/8/2016,370077,0,618,5,CAD
366014,1,1/1/2016,1/6/2016,738549,0,123,1,EUR
366014,2,1/1/2016,1/6/2016,738549,0,1700,2,EUR
367005,1,1/2/2016,1/10/2016,758280,0,1691,1,EUR
367005,2,1/2/2016,1/10/2016,758280,0,319,2,EUR
367005,3,1/2/2016,1/10/2016,758280,0,1674,8,EUR
367005,4,1/2/2016,1/10/2016,758280,0,2511,9,EUR
367005,5,1/2/2016,1/10/2016,758280,0,1720,2,EUR
367005,6,1/2/2016,1/10/2016,758280,0,1597,7,EUR
367005,7,1/2/2016,1/10/2016,758280,0,784,1,EUR
367028,1,1/2/2016,1/11/2016,607356,0,976,1,EUR
367028,2,1/2/2016,1/11/2016,607356,0,2017,3,EUR
367031,1,1/2/2016,1/7/2016,909014,0,120,3,GBP
367031,2,1/2/2016,1/7/2016,909014,0,382,2,GBP
367031,3,1/2/2016,1/7/2016,909014,0,1722,3,GBP
367031,4,1/2/2016,1/7/2016,909014,0,132,1,GBP
369011,1,1/4/2016,1/9/2016,1664824,0,1261,2,USD
369012,1,1/4/2016,1/13/2016,1696695,0,1423,3,USD
369012,2,1/4/2016,1/13/2016,1696695,0,1656,1,USD
369012,3,1/4/2016,1/13/2016,1696695,0,1660,2,USD
369012,4,1/4/2016,1/13/2016,1696695,0,1610,6,USD
371004,1,1/6/2016,1/14/2016,1378439,0,1305,8,USD
371006,1,1/6/2016,1/15/2016,1501383,0,1279,1,USD
371007,1,1/6/2016,1/18/2016,1378439,0,1639,1,USD
371011,1,1/6/2016,1/14/2016,776266,0,458,5,EUR
371011,2,1/6/2016,1/14/2016,776266,0,1573,3,EUR
371011,3,1/6/2016,1/14/2016,776266,0,32,5,EUR
371015,1,1/6/2016,1/14/2016,1669745,0,1679,5,USD
371015,2,1/6/2016,1/14/2016,1669745,0,1659,1,USD
371015,3,1/6/2016,1/14/2016,1669745,0,1228,1,USD
371015,4,1/6/2016,1/14/2016,1669745,0,1458,4,USD
372000,1,1/7/2016,1/22/2016,1413890,0,148,3,USD
372000,2,1/7/2016,1/22/2016,1413890,0,1620,1,USD
372000,3,1/7/2016,1/22/2016,1413890,0,825,3,USD
372006,1,1/7/2016,1/15/2016,2095742,0,125,2,USD
373000,1,1/8/2016,1/14/2016,1367439,0,2509,3,USD
373000,2,1/8/2016,1/14/2016,1367439,0,716,3,USD
373007,1,1/8/2016,1/14/2016,351747,0,103,2,CAD
